# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T13:26:31.656928
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
     2.150 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.200 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.250 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.300 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.350 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.400 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.450 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.500 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.550 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.600 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.650 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.700 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.750 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.800 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.850 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.900 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.950 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.000 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.050 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.100 |    0.000    0.000    0.000 |    -0.66     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.150 |    0.000    0.000    0.000 |    -0.66     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.200 |    0.000    0.000    0.000 |    -0.66     1.83     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.250 |    0.000    0.000    0.000 |    -0.66     1.83     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.300 |    0.000    0.000    0.000 |    -0.66     1.83     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.350 |    0.000    0.000    0.000 |    -0.66     1.83     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.400 |    0.000    0.000    0.000 |    -0.66     1.83     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.450 |    0.000    0.000    0.000 |    -0.66     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.500 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
